name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Михаил Юхма	1936-04-10	Сугуты, Батыревский район Чувашии			37	0	9
Андрей Тавров	1948-03-12	Ростов-на-Дону			19	2	16
Абиш Кекилбаев	1939-12-06	село Онды, Мангистауский район, Гурьевская область, Казахская ССР			8	0	7
Джон Кеннеди Тул	1937-12-17	Новый Орлеан, Луизиана, США	1969-03-26	Билокси, Миссисипи, США	7	4	346
Петр Сис	1949-05-11	Брно, Чехословакия			8	1	30
Андреас Штайнхёфель	1962-01-14	Баттенберг, Хэссен			8	4	310
Герберт Розендорфер	1934-02-19	Грис (Больцано, Южный Тироль, Италия)	2012-09-20	Грис (Больцано, Южный Тироль, Италия)	18	1	671
Анна Лангфюс	1920-01-01	Люблин, Польша	1966-05-12	Гонесс, Франция	0	0	0
Валерий Казаков	1936-08-14	Владивосток			1	0	0
Дженнифер Линч	1968-04-07	Филадельфия, Пенсильвания, США			11	3	945
Анатолий Приставкин	1931-10-17	г. Люберцы Московской области	2008-07-11		84	9	2951
Алан Маршалл	1902-05-02	Австралия	1984-01-21		27	7	818
С. Дж. Миллс	1941-01-28	США			4	0	2
Василий Оглоблин	1920-01-14	село Чимеево (ныне Белозерского района Курганской области)	1995-05-20		2	0	3
Николай Рыленков	1909-02-15	д. Алексеевка, Рославльский уезд, Смоленская губерния, Российская империя ныне Смоленская область	1969-06-23	Смоленск, РСФСР, СССР	36	2	11
Евгений Евсеев	1932-11-16		1990-02-16		3	0	0
Анатолий Корольченко	1922-04-12	г. Ростове-на-Дону, РСФСР	2010-01-01		17	0	7
Сергей Алымов	1892-03-24	село Славгород, Харьковская губерния, Российская империя	1948-04-29	Москва	3	0	0
Томас Рид	1710-04-26	Сторн, Шотландия	1796-10-07	Глазго, Шотландия	2	0	0
Петр Вяземский	1792-07-12	Москва	1878-11-12		62	4	57
Иоанн Кронштадтский	1829-10-31	село Сура, Пинежский уезд, Архангельская губерния	1909-01-02	Кронштадт, Санкт-Петербургская губерния	3	0	0
Владимир Эрман	1928-03-11				14	0	0
Люсьен Февр	1878-07-22	Нанси	1956-09-11		3	0	10
Александр Малышкин	1892-03-09	с. Богородское Мокшанского р-на Пензенской обл.	1938-08-03	Москва	47	0	49
Иван Арсентьев	1920-01-19	село Троицкое ныне Любашёвского района Одесской области Украины	1999-05-14	Москва	11	0	11
Хуан Рульфо	1917-05-16	Апулько, Мексика	1986-01-07	Мехико	13	4	342
Игорь Дьяконов	1915-01-12	Петроград, Российская империя	1999-05-02	Санкт-Петербург, Российская Федерация	17	0	28
Фредерик Тристан	1931-06-11	Седан, Франция			10	1	63
Тацяна Сапач	1962-08-26	в. Маркава, Маладэчанскі раён, Менская вобласьць	2010-12-27	Аліта, Літва	2	0	0
Лоуренс Норфолк	1963-10-01	Лондон, Великобритания			15	11	833
Маргарет Пембертон	1943-04-10	Брэдфорд, Йоркшир, Великобритания			87	7	149
Леонид Канторович	1912-01-19	Санкт-Петербург	1986-04-07	Москва	14	1	3
Мишель Кент	1949-11-17				1	0	12
Андрей Серба	1940-11-05	СССР			25	0	18
Елена Боннэр	1923-02-15	Мары, Туркестанская АССР	2011-06-19	Бостон, США	7	1	12
Двора Барон	1887-11-27	Узда, Российская империя (сейчас Белоруссия)	1956-08-20	Тель-Авив, Тель-Авивский округ, Израиль	0	0	0
Данияр Сугралинов	1978-12-02	Актюбинск, Казахская ССР			5	7	968
Христиан Фридрих Самуэль Ганеман	1755-04-10	Мейсен, Саксония	1843-06-02	Париж, Франция	2	0	3
Йозеф Цодерер	1935-11-25				1	1	8
Александра Ильф	1935-03-21	Москва	2013-12-14	Москва	4	0	26
Сергей Булгаков	1871-06-16	Ливны, Орловская губерния	1944-01-01		88	2	79
Пол Доузвелл	1957-09-03	Честер, Великобритания			9	0	0
Ида Йессен	1964-09-25	Дания, г. Грам			4	0	72
